Year,State,District,Rape Cases,Abduction Cases,Murder Cases,Total Crimes,Population,Crime Rate,Arrests,Crime Clearance Rate
2018,Goa,Vasco da Gama,21,125,38,355,601856,58.98,294,82.82
2019,Tamil Nadu,Coimbatore,136,114,76,730,454251,160.7,627,85.89
2019,Madhya Pradesh,Gwalior,133,178,71,748,1881680,39.75,549,273.4
2021,Haryana,Panipat,102,216,25,558,725939,76.87,435,77.96
2020,Tripura,Agartala,100,259,75,487,1630786,29.86,363,74.54
2021,Uttar Pradesh,Lucknow,63,193,11,355,299675,118.46,299,1584.23
2021,Kerala,Kochi,2183,297,43,660,1557920,42.36,498,0.45
2019,Mizoram,Lunglei,138,234,68,814,987572,82.42,556,68.3
2020,Uttarakhand,Haridwar,49,122,37,471,237128,198.63,373,79.19
2021,Gujarat,Vadodara,196,76,58,467,177414,263.23,411,88.01
2021,Maharashtra,Mumbai,33,178,7,643,1558180,41.27,1381,259.25
2020,Chhattisgarh,Raipur,166,151,7,454,1039115,43.69,246,54.19
2020,Meghalaya,Shillong,199,228,38,851,829575,102.58,836,98.24
2021,Manipur,Thoubal,54,193,11,475,1296807,36.63,448,1.32
2021,Rajasthan,Udaipur,173,57,59,558,788664,70.75,308,55.2
2019,Sikkim,Gyalshing,115,168,29,398,1549853,25.68,295,74.12
2018,Tamil Nadu,Coimbatore,79,24,21,564,859597,65.61,500,8.65
2018,Meghalaya,Jowai,164,267,17,770,878236,87.68,602,78.18
2020,Nagaland,Kohima,137,52,65,437,1145380,38.15,304,69.57
2019,Uttarakhand,Nainital,88,293,71,947,1443318,65.61,941,99.37
2020,Karnataka,Bengaluru,188,232,99,651,1842060,35.34,333,1.15
2021,Kerala,Kozhikode,1999,226,21,576,1508458,38.18,483,2.85
2019,Odisha,Cuttack,126,157,36,516,1724949,29.91,445,86.24
2020,Delhi,South Delhi,144,281,71,669,1077792,62.07,362,54.11
2019,Odisha,Bhubaneswar,88,68,94,497,412502,120.48,453,91.15
2019,Jharkhand,Dhanbad,95,258,49,861,294558,292.3,740,85.95
2020,Jharkhand,Jamshedpur,121,188,98,564,94690,595.63,383,67.91
2022,Delhi,Central Delhi,24,107,36,666,1746712,38.13,561,4.23
2022,Meghalaya,Tura,29,137,42,636,1093893,58.14,583,91.67
2018,Andhra Pradesh,Guntur,21,226,29,715,234112,305.41,370,51.75
2018,Andhra Pradesh,Guntur,90,137,72,558,1798015,31.03,403,72.22
2018,Bihar,Gaya,150,261,29,609,593493,102.61,305,50.08
2022,Bihar,Muzaffarpur,67,126,79,768,1259099,61,482,62.76
2018,Tamil Nadu,Madurai,140,239,82,692,1716509,40.31,605,87.43
2021,Bihar,Patna,121,57,46,303,1742233,17.39,181,59.74
2019,Karnataka,Bengaluru,77,79,91,732,1077672,67.92,606,2.79
2021,Tamil Nadu,Chennai,22,65,27,610,1579902,38.61,550,90.16
2018,Ladakh,Leh,133,113,28,439,622098,70.57,304,69.25
2021,Jharkhand,Jamshedpur,60,197,34,523,1198626,43.63,289,55.26
